mel	output	text
mels/LJ022-0023.pt	001_the_overwhelming_majority_of_people_in.wav	The overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read.
mels/LJ043-0030.pt	002_if_somebody_did_that_to_me,.wav	If somebody did that to me, a lousy trick like that, to take my wife away, and all the furniture, I would be mad as hell, too.
mels/LJ005-0201.pt	003_as_is_shown_by_the_report.wav	as is shown by the report of the Commissioners to inquire into the state of the municipal corporations in eighteen thirty-five.
mels/LJ001-0110.pt	004_even_the_caslon_type_when_enlarged.wav	Even the Caslon type when enlarged shows great shortcomings in this respect:
mels/LJ003-0345.pt	005_all_the_committee_could_do_in.wav	All the committee could do in this respect was to throw the responsibility on others.
mels/LJ007-0154.pt	006_these_pungent_and_well-grounded_strictures_applied.wav	These pungent and well-grounded strictures applied with still greater force to the unconvicted prisoner, the man who came to the prison innocent, and still uncontaminated,
mels/LJ018-0098.pt	007_and_recognized_as_one_of_the.wav	and recognized as one of the frequenters of the bogus law-stationers. His arrest led to that of others.
mels/LJ047-0044.pt	008_oswald_was,_however,_willing_to_discuss.wav	Oswald was, however, willing to discuss his contacts with Soviet authorities. He denied having any involvement with Soviet intelligence agencies
mels/LJ031-0038.pt	009_the_first_physician_to_see_the.wav	The first physician to see the President at Parkland Hospital was Dr. Charles J. Carrico, a resident in general surgery.
mels/LJ048-0194.pt	010_during_the_morning_of_november_twenty-two.wav	during the morning of November twenty-two prior to the motorcade.
mels/LJ037-0249.pt	011_mrs._earlene_roberts_the.wav	Mrs. Earlene Roberts, the housekeeper at Oswald's roominghouse and the last person known to have seen him before he reached tenth Street and Patton Avenue,
mels/LJ016-0248.pt	012_marwood_was_proud_of_his.wav	Marwood was proud of his calling, and when questioned as to whether his process was satisfactory, replied that he heard "no complaints."
mels/LJ045-0190.pt	013_appeared_in_the_dallas_time.wav	appeared in The Dallas Times Herald on November fifteen, nineteen sixty-three.
mels/LJ035-0155.pt	014_the_only_exit_from_the_office.wav	The only exit from the office in the direction Oswald was moving was through the door to the front stairway.
mels/LJ025-0081.pt	015_has_no_permanent_digestive.wav	has no permanent digestive cavity or mouth, but takes in its food anywhere and digests, so to speak, all over its body.
mels/LJ019-0042.pt	016_these_were_either_satisfied_with.wav	These were either satisfied with a makeshift, and modified existing buildings, without close regard to their suitability, or for a long time did nothing at all.